layer_name,path,variable_type,temporal_resolution,type,start_year,end_year,leap_year,start_month,end_month,perc,spatial_resolution,extent,note,src
lithology.51.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.51.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.52.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.52.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.53.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.53.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.54.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.54.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.55.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.55.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.56.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.56.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.57.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.57.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.58.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.58.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.59.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.59.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.6.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.6.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.60.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.60.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.61.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.61.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.62.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.62.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.63.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.63.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.64.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.64.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.65.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.65.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.66.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.66.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.67.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.67.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.68.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.68.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.69.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.69.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.7.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.7.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.70.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.70.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.71.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.71.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.72.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.72.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.73.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.73.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.74.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.74.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.75.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.75.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.76.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.76.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.77.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.77.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.78.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.78.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.79.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.79.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.8.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.8.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.80.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.80.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.81.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.81.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.82.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.82.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.83.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.83.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.84.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.84.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.85.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.85.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.86.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.86.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.87.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.87.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.88.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.88.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.89.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.89.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.9.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.9.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.90.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.90.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.91.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.91.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.92.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.92.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.93.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.93.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.94.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.94.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.95.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.95.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.96.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.96.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.97.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.97.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.98.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.98.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
lithology.99.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530,{base_path}/ai4sh/indicator/lithology.99.lithology_egdi.1m_c_250m_s_20000101_20221231_eu_epsg.3035_v20240530.tif,lithology,longterm_or_static,common,,,,,,,250m,eu,,
soil.moisture_s1.clms.qr.1.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211,{base_path}/ai4sh/soil_moisture/soil.moisture_s1.clms.qr.1.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211.tif,soil moisture,longterm_or_static,common,,,,,,"p0.05,p0.5,p0.95",1km,eu,,
soil.moisture_s1.clms.qr.2.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211,{base_path}/ai4sh/soil_moisture/soil.moisture_s1.clms.qr.2.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211.tif,soil moisture,longterm_or_static,common,,,,,,"p0.05,p0.5,p0.95",1km,eu,,
soil.moisture_s1.clms.qr.3.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211,{base_path}/ai4sh/soil_moisture/soil.moisture_s1.clms.qr.3.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211.tif,soil moisture,longterm_or_static,common,,,,,,"p0.05,p0.5,p0.95",1km,eu,,
soil.moisture_s1.clms.qr.4.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211,{base_path}/ai4sh/soil_moisture/soil.moisture_s1.clms.qr.4.{perc}_m_1km_20140101_20241231_eu_epsg3035_v20250211.tif,soil moisture,longterm_or_static,common,,,,,,"p0.05,p0.5,p0.95",1km,eu,,
CHELSA_ai_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_ai_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio1_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio1_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio10_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio10_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio11_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio11_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio12_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio12_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio13_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio13_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio14_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio14_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio15_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio15_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio16_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio16_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio17_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio17_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio18_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio18_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio19_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio19_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio2_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio2_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio3_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio3_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio4_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio4_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio5_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio5_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio6_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio6_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio7_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio7_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio8_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio8_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_bio9_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_bio9_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_clt_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_clt_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_cmi_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_cmi_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_fcf_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_fcf_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
