layer_name,path,variable_type,temporal_resolution,type,start_year,end_year,leap_year,start_month,end_month,perc,spatial_resolution,extent,note,src
CHELSA_fgd_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_fgd_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gdd0_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gdd0_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gdd10_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gdd10_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gdd5_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gdd5_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gddlgd0_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gddlgd0_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gddlgd10_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gddlgd10_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gddlgd5_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gddlgd5_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gdgfgd0_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gdgfgd0_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gdgfgd10_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gdgfgd10_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gdgfgd5_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gdgfgd5_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gsl_gf_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gsl_gf_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gsp_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gsp_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_gst_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_gst_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_hurs_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_hurs_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_kg0_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_kg0_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_kg1_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_kg1_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_kg2_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_kg2_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_kg3_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_kg3_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_kg4_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_kg4_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_kg5_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_kg5_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_lgd_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_lgd_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_ngd0_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_ngd0_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_ngd10_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_ngd10_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_ngd5_gf_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_ngd5_gf_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_npp_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_npp_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pet_penman_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_pet_penman_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_rsds_1981-2010_{perc}_V.2.1,{base_path}/global/bio/CHELSA_rsds_1981-2010_{perc}_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_scd_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_scd_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_sfcWind_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_sfcWind_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_swb_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_swb_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_swe_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_swe_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_tcc_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_tcc_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
CHELSA_vpd_{perc}_1981-2010_V.2.1,{base_path}/global/bio/CHELSA_vpd_{perc}_1981-2010_V.2.1.tif,bioclim,longterm_or_static,common,,,,,,"min,max,range,mean",1km,go,,chelsa
peatland.extent_wri.gfw.peatgrids_p_1km_s_2000_2020_go_epsg4326_v20241017,{base_path}/global/peatland/peatland.extent_wri.gfw.peatgrids_p_1km_s_2000_2020_go_epsg4326_v20241017.tif,peatland extent,longterm_or_static,common,,,,,,,1km,go,,
CHELSA_pr_01_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_01_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_02_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_02_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_03_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_03_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_04_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_04_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_05_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_05_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_06_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_06_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_07_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_07_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_08_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_08_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_09_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_09_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_10_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_10_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_11_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_11_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
CHELSA_pr_12_1981-2010_V.2.1,{base_path}/global/pr/CHELSA_pr_12_1981-2010_V.2.1.tif,precipitation,longterm_or_static,common,,,,,,,1km,go,,chelsa
palsar_hh_2015_eu,{base_path}/ai4sh-landmasked/palsar/palsar_hh_2015_eu.tif,sar backscatter,longterm_or_static,common,,,,,,,25m,eu,,
palsar_hv_2015_eu,{base_path}/ai4sh-landmasked/palsar/palsar_hv_2015_eu.tif,sar backscatter,longterm_or_static,common,,,,,,,25m,eu,,
blue_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/blue/blue_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/bsf/bsf_glad.landsat.ard2.seasconv.m.yearly_sum_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,,30m,eu,,
cropland.extent_glad.interpolate_p_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20240604,{base_path}/ai4sh-landmasked/cropland/cropland.extent_glad.interpolate_p_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20240604.tif,crop extent,yearly,temporal,2000,2022,,,,,30m,eu,,
green_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/green/green_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
ndti.min_glad.landsat.ard2.seasconv.bimonthly.min_m_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231218,{base_path}/ai4sh-landmasked/ndti.min/ndti.min_glad.landsat.ard2.seasconv.bimonthly.min_m_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231218.tif, ,yearly,temporal,2000,2022,,,,,30m,eu,,
ndti_glad.landast.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/ndti/ndti_glad.landast.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
ndvi_glad.landast.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/ndvi/ndvi_glad.landast.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231218,{base_path}/ai4sh-landmasked/ndwi.gao/ndwi.gao_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231218.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
nir_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/nir/nir_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
nos_glad.landsat.ard2.seasconv_m_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/nos/nos_glad.landsat.ard2.seasconv_m_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,,30m,eu,,
red_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/red/red_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
swir1_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/swir1/swir1_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
swir2_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/swir2/swir2_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
thermal_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh-landmasked/thermal/thermal_glad.landsat.ard2.seasconv.m.yearly_{perc}_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,"p25,p50,p75",30m,eu,,
cdr_glad.landsat.seasconv_m_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127,{base_path}/ai4sh/cdr/cdr_glad.landsat.seasconv_m_30m_s_{year}0101_{year}1231_eu_epsg.3035_v20231127.tif, ,yearly,temporal,2000,2022,,,,,30m,eu,,
clm_accum.precipitation_chelsa.annual_m_1km_s0..0cm_{year}_v2.1,{base_path}/global/clm/clm_accum.precipitation_chelsa.annual_m_1km_s0..0cm_{year}_v2.1.tif,precipitation,yearly,temporal,1979,2018,,,,,1km,go,,chelsa
clm_lst_mod11a2.daytime_{perc}_1km_s0..0cm_{year}_v1.2,{base_path}/global/clm/clm_lst_mod11a2.daytime_{perc}_1km_s0..0cm_{year}_v1.2.tif,land surface temperature,yearly,temporal,2000,2021,,,,"p05,p50,p95",1km,go,,
clm_lst_mod11a2.nighttime_{perc}_1km_s0..0cm_{year}_v1.2,{base_path}/global/clm/clm_lst_mod11a2.nighttime_{perc}_1km_s0..0cm_{year}_v1.2.tif,land surface temperature,yearly,temporal,2000,2021,,,,"p05,p50,p95",1km,go,,
bare.soil_mcd43a4.fc_{perc}_500m_s_{year}0101_{year}1231_go_epsg.4326_v20240616,{base_path}/global/bare.soil/bare.soil_mcd43a4.fc_{perc}_500m_s_{year}0101_{year}1231_go_epsg.4326_v20240616.tif,land cover percent,yearly,temporal,2000,2023,,,,"m,mx,std",500m,go,,
non.photosynthetic.veg_mcd43a4.fc_{perc}_500m_s_{year}0101_{year}1231_go_epsg.4326_v20240616,{base_path}/global/non.photosynthetic.veg/non.photosynthetic.veg_mcd43a4.fc_{perc}_500m_s_{year}0101_{year}1231_go_epsg.4326_v20240616.tif,land cover percent,yearly,temporal,2001,2023,,,,"m,mx,std",500m,go,,
non.photosynthetic.veg_mcd43a4.fc_{perc}_gf_500m_s_{year}0101_{year}1231_go_epsg.4326_v20250116,{base_path}/global/non.photosynthetic.veg/non.photosynthetic.veg_mcd43a4.fc_{perc}_gf_500m_s_{year}0101_{year}1231_go_epsg.4326_v20250116.tif,land cover percent,yearly,temporal,2001,2023,,,,std,500m,go,,
photosynthetic.veg_mcd43a4.fc_{perc}_500m_s_{year}0101_{year}1231_go_epsg.4326_v20240616,{base_path}/global/photosynthetic.veg/photosynthetic.veg_mcd43a4.fc_{perc}_500m_s_{year}0101_{year}1231_go_epsg.4326_v20240616.tif,land cover percent,yearly,temporal,2001,2023,,,,"m,mx,std",500m,go,,
pft.bare_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.bare/pft.bare_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.built_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.built/pft.built_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.grass.man_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.grass.man/pft.grass.man_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.grass.nat_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.grass.nat/pft.grass.nat_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.shrubs.bd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.shrubs.bd/pft.shrubs.bd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.shrubs.be_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.shrubs.be/pft.shrubs.be_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.shrubs.nd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.shrubs.nd/pft.shrubs.nd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.shrubs.ne_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.shrubs.ne/pft.shrubs.ne_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.snowice_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.snowice/pft.snowice_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.trees.bd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.trees.bd/pft.trees.bd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.trees.be_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.trees.be/pft.trees.be_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.trees.nd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.trees.nd/pft.trees.nd_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.trees.ne_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.trees.ne/pft.trees.ne_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.water.inland_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.water.inland/pft.water.inland_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
pft.water_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616,{base_path}/global/pft.water/pft.water_esa.cci.lc_pc_300m_s_{year}0101_{year}1231_go_epsg.4326_v20230616.tif,plant functional type,yearly,temporal,1992,2020,,,,,300m,go,,esa cci
wv_mcd19a2v061.seasconv.m.yearly_{perc}_1km_s_{year}0101_{year}1231_go_epsg.4326_v20230619,{base_path}/global/wv/wv_mcd19a2v061.seasconv.m.yearly_{perc}_1km_s_{year}0101_{year}1231_go_epsg.4326_v20230619.tif,water vapor,yearly,temporal,2000,2022,TRUE,,,"sd,p25,p50,p75",1km,go,,
wv_mcd19a2v061.seasconv.sd.yearly_{perc}_1km_s_{year}0101_{year}1231_go_epsg.4326_v20230619,{base_path}/global/wv/wv_mcd19a2v061.seasconv.sd.yearly_{perc}_1km_s_{year}0101_{year}1231_go_epsg.4326_v20230619.tif,water vapor,yearly,temporal,2000,2022,TRUE,,,"sd,p25,p50,p75",1km,go,,